难人	94732	
哪颗	661401	
耐水	307559	
内资	1053280	
内容简介	23678464	
宁可清贫不作浊富	1	
年限	5175103	
凝聚	5687121	
摄政王	248270	
逆境	1248592	
能让	12617343	
女管家	136051	
难产	907051	
农业发展	1350632	
农学	550919	
女同胞	415460	
哪些方面	770251	
内测	3912745	
男同胞	361302	
内贾德	521878	
逆时针方向	124202	
女套装	42841	
那几个	4209553	
难事	1630402	
幸运星	730508	
粘结性	43331	
难于	1660186	
农机局	210220	
农业产业	580949	
内海	167804	
难以置信	2491840	
蹑影藏形	1	
农产	183988	
农村公路	677332	
凝思	221102	
男女同	153100	
浓硫酸	178459	
闹出	1086728	
挪动	1145898	
你也来	573669	
难以	38647532	
逆风	784334	
南大	1231905	
那等	459962	
尼姑	1332520	
男装品牌	156470	
南天	758817	
尼米兹	148632	
尼姆	132467	
嗫嚅小儿	1	
南头	377143	
内贸	269837	
女双	645302	
南社	112636	
牛农对泣	1	
奈何桥	498729	
难为	1437986	
女孩子	20395654	
拿去	3341269	
你的心里	578865	
女色	727494	
女儿国	406958	
您当前	182680	
那就是你	520878	
耐高温	1465035	
女生节	88931	
耐人寻味	1210772	
摄录	569720	
那家	3104335	
逆向法	83864	
农具	461468	
凝胶	1033222	
你的	207682140	
南去北来	1	
女体盛	141019	
宁为鸡口无为牛后	1	
那也	5232082	
牛磺酸	158998	
耐不住	1054268	
脑癌	83562	
摄影	30257594	
纳新吐故	1	
疑似之间	1	
那个男人	2825113	
逆风恶浪	1	
泥金万点	1	
你来过	108542	
您还	4596129	
农发行	364049	
内涝	73182	
那对	1841747	
难舍难分	281378	
逆耳利行	1	
纳西	646930	
内斯特	145228	
拟稿	81304	
牛黄狗宝	1	
农业工程	167729	
挠直为曲	1	
糯米	1680293	
南京农业	255334	
那篇	855985	
南京房产	112844	
尼奇	256753	
内容介绍	3597257	
浓烈	2296647	
内涵	10232654	
浓郁	4099388	
纳税服务	188396	
女朋友	16021444	
粘合剂	757273	
农业总产值	199731	
你在	22848034	
年青	2215677	
挠曲枉直	1	
拿到	13961704	
难辨	839289	
您们	1122653	
年均	2665718	
攘来熙往	1	
女方	2793352	
宁国府	60801	
你看	18678459	
虐俘	180387	
男双	498156	
男女关系	748549	
霓裳	1221357	
脑电波	296675	
拟态	76763	
年岁	964063	
你真	13865786	
拿刀	621092	
尿流屁滚	1	
脑海里	3757572	
拟定	3015252	
难为情	914512	
瑙鲁	50067	
女服务生	185305	
女歌迷	153882	
年高望重	1	
耐高低温	53446	
凝脂	489672	
农业产业化	1919836	
你来我网	410778	
男女生	435507	
那一站	61256	
难保	1540100	
南内环	38392	
孽根祸胎	1	
耐酸碱	291324	
耐用性	278177	
牛尾	163131	
男厕	321087	
内源性	145910	
您了	926348	
难过	11962085	
你瞧	1253467	
逆天违理	1	
南风	753222	
需求量	2944664	
您必须	1532655	
逆施倒行	1	
你去	11441122	
南飞	397089	
农牧局	71642	
拿大奖	301919	
女内裤	54008	
怒猊渴骥	1	
碾米机	35968	
您也	3674550	
摄政	204536	
念头	10563967	
尿不湿	89180	
南天门	299596	
男单	1193662	
女性用品	183799	
农民画	110706	
逆天	1291179	
需要多少钱	276920	
怒气	3514193	
脑血管疾病	550138	
那端	567436	
钕铁硼	231514	
耐老化	168079	
你知	863999	
脑血栓	349289	
女司机	543085	
讷口少言	1	
弩下逃箭	1	
摊铺机	252811	
哪只	427605	
脑中风	362610	
农业学大寨	48801	
脑中	5124013	
疑议	959731	
需脚本	72085	
农副业	45776	
年深月久	1	
男婚女嫁	1	
蹑脚蹑手	1	
您现在	18195895	
牛鞭	186652	
南四环	103655	
您不	3385796	
牛粪	650143	
内河	846053	
内存容量	2301914	
牛网	43299	
难治	914357	
你吧	1244154	
能者为师	1	
南北长	287418	
农村居民	723395	
那大	665990	
怒容	506736	
你听	3271366	
捻捻转儿	1	
男厕所	252690	
摄影记者	614101	
南湖路	68562	
暖水瓶	57774	
女童遭	37010	
内容管理系统	885357	
恼羞成怒	1212793	
南孚	97695	
你最好	3197781	
那头	3412358	
怒形于色	69461	
你吃	1919035	
男大须婚	1	
年高德卲	1	
女人会	811161	
那多	795664	
你向	555380	
你吗	2078112	
那夜	1035457	
疑案	465895	
宁为玉碎不为瓦全	1	
泥坑	287079	
驽箭离弦	1	
你呢	5029650	
拿班做势	1	
那时候	10228898	
牛振华	130108	
纳达尔	442065	
年后	3402255	
那她	1282010	
尿垫	36074	
那好	4049065	
拿粗夹细	1	
那女	1397756	
男女队	80327	
你呀	1990034	
内政部	685204	
牛毛细雨	1	
女厕所	357446	
内伤	1328555	
念着	1585465	
尼科	295537	
幸会	469977	
粘度计	144399	
泥土	3578533	
能见	899898	
那一种	1108629	
耐久	706764	
女人体	100646	
那套	1489678	
涅托	999999998	
女星	6960806	
女侍	333212	
脑海	2352623	
南船北车	1	
农博	43537	
逆来顺受	1	
内墙砖	66806	
年终盘点	144478	
闹区	103660	
你还好	501616	
农协	83688	
宁夏回族自治区	457457	
疟疾	496160	
农技员	34114	
难民	1714380	
你和	7506192	
内蒙古呼和浩特	237419	
你只	4923282	
摄影照片	255895	
脑浆	500609	
拿云攫石	1	
镍合金	87178	
那首	1830346	
女上装	59785	
牛仔服	249443	
摄氏温度	1	
拿出	18528895	
南宁	11432521	
能抑制	447698	
农家饭	147668	
怒气冲冲	1	
南宋	1681630	
你可	10110596	
南环路	153468	
农民企业家	82150	
农家女	163769	
内贴	39244	
牛羊	1661595	
嫩肤	583123	
纳维亚	162927	
女主人	1509144	
那种	47157910	
内侧	2038963	
南宫	4669743	
难告诉你	1305255	
嫩肉	353973	
匿名	11533863	
能尽快	686710	
那姓	464085	
需氧量	122886	
难求	1069943	
南中国海	224522	
哪儿	9879957	
镍铬	132556	
那份	6634115	
楠木	291439	
难道说	1305672	
你和我一样	134425	
年壮气锐	1	
脑波	291254	
哪知	1724299	
牛脾气	162129	
内湖	428165	
女护士	525206	
年长	1418159	
农产品	10095325	
牛年	47815	
南岛	232520	
纽约时报	1184862	
能源动力	95436	
牛之一毛	1	
怒骂	1272525	
内科学	379780	
蹑足潜踪	1	
内乱	745136	
逆我者亡	1	
你啦	814616	
那么大	5186631	
南三环	242464	
需要注意	2556613	
南方人	734888	
南京	53427079	
年龄结构	272171	
暖风	635487	
囊萤照书	1	
纳米级	268098	
内中	556181	
内窥镜	438272	
脓血	165458	
南北向	432910	
年画	629763	
纳兰容若	83568	
哪些项目	546510	
诺言	3264195	
内存价格	371004	
南理工	118411	
内丹	829247	
宁财神	74639	
那么多	22880856	
尿嘧啶	150592	
你又	8654192	
南冠楚囚	1	
内地人	173721	
拿点	377999	
农工党	96852	
内存大小	641127	
女店主	110215	
女服	99039	
牛黄	389737	
女人最大	126913	
牛玉儒	321210	
牛鬼蛇神	1	
你现在	12691639	
南站	819450	
奶油味	42375	
诺顿防火墙	98032	
凝目	359405	
南端	549588	
尼娜	280898	
泥猪疥狗	1	
摄影棚	499956	
脑汁	174228	
农牧	685227	
奈良	267461	
暖气费	91404	
农副	2512320	
女球迷	334123	
那颗	3064025	
逆子	283545	
脓肿	420286	
女人们	2241476	
农产品批发	232589	
难走	421677	
男主角	5512814	
你问	2334325	
闹剧	1523454	
南昌大学	349681	
男儿	2656480	
耐心	10501413	
内源	91007	
幸事	299057	
你们的	21409657	
南京地铁	175170	
幸亏	3489060	
内维尔	243412	
南阮北阮	1	
女杰	161779	
哪里	31195506	
念珠菌	266974	
难测	816865	
女选手	235030	
能行	1399498	
牛尾巴	68430	
你我他	530461	
你会发现	3021946	
农民收入	1805483	
那张	8891829	
您说	1808799	
女高中生	272610	
你到	3962271	
你爱	3278334	
农业部	4837040	
耐水洗	40649	
女大不中留	51813	
南开大学	1305451	
你爹	872295	
难于上青天	1	
农闲	245475	
拟建	925640	
妮妮	853577	
疑虑	2726671	
年鉴	1758215	
疑难杂症	1	
能说会道	325119	
农业户口	204820	
男人们	2450079	
碾碎	260253	
疑义	745389	
逆坂走丸	1	
纳西里	69036	
女歌手奖	111717	
内心深处	2658412	
你怎么	22031922	
南郭先生	1	
谑而不虐	1	
你不要	8715312	
能源消费	295617	
疑为	613157	
闹闹	1800071	
年刊	112394	
女抢匪	51235	
幸运色	125656	
年轻力壮	1	
宁死不屈	1	
那么帅	260963	
女秘书	972125	
牛头	1151862	
捏着	1413854	
努尔	204487	
捏一把汗	1	
